능력단위코드,자격종목코드,자격종목명,능력단위유형코드,능력단위유형명,최소훈련시간,훈련기준시간합계,필수능력단위기준시간,선택능력단위기준시간,직무기초능력기준시간,시험기관명,능력단위명,기준버전
1503020301_14v2,C090,치공구설계산업기사,SEL,선택,15,660,420,210,30,한국산업인력공단,기계공정 설계,v1.0
1502010207_14v2,C090,치공구설계산업기사,SEL,선택,15,660,420,210,30,한국산업인력공단,엔드밀 가공,v1.0
1502010206_14v2,C090,치공구설계산업기사,SEL,선택,15,660,420,210,30,한국산업인력공단,탭 · 드릴 · 보링 가공,v1.0
1502010205_14v2,C090,치공구설계산업기사,SEL,선택,15,660,420,210,30,한국산업인력공단,평면 · 총형 가공,v1.0
1502010208_14v2,C090,치공구설계산업기사,SEL,선택,15,660,420,210,30,한국산업인력공단,치공구 관리,v1.0
1502010105_14v2,C090,치공구설계산업기사,SEL,선택,15,660,420,210,30,한국산업인력공단,단순형상 작업,v1.0
1502010104_14v2,C090,치공구설계산업기사,SEL,선택,15,660,420,210,30,한국산업인력공단,기본 작업,v1.0
1502010106_14v2,C090,치공구설계산업기사,SEL,선택,15,660,420,210,30,한국산업인력공단,홈 · 테이퍼 작업,v1.0
1502010107_14v2,C090,치공구설계산업기사,SEL,선택,15,660,420,210,30,한국산업인력공단,편심 · 나사 작업,v1.0
1502010102_14v2,C090,치공구설계산업기사,SEL,선택,15,660,420,210,30,한국산업인력공단,공구 선정,v1.0
1502010103_14v2,C090,치공구설계산업기사,SEL,선택,15,660,420,210,30,한국산업인력공단,도면해독,v1.0
1501020204_14v2,C090,치공구설계산업기사,SEL,선택,30,660,420,210,30,한국산업인력공단,형상모델링,v1.0
1501020211_14v2,C090,치공구설계산업기사,SEL,선택,15,660,420,210,30,한국산업인력공단,설계품질관리,v1.0
1501020110_14v2,C090,치공구설계산업기사,SEL,선택,15,660,420,210,30,한국산업인력공단,요소설계검증,v1.0
1501020208_14v2,C090,치공구설계산업기사,SEL,선택,30,660,420,210,30,한국산업인력공단,동력전달장치설계,v1.0
1501020207_14v2,C090,치공구설계산업기사,SEL,선택,15,660,420,210,30,한국산업인력공단,요소부품제작성검토,v1.0
1502010406_16v4,C090,치공구설계산업기사,MAND,필수,15,600,420,150,30,한국산업인력공단,CNC밀링(머시닝센터) 가공 매뉴얼 프로그래밍,v2.0
1502010405_14v2,C090,치공구설계산업기사,MAND,필수,15,600,420,150,30,한국산업인력공단,CNC밀링(머시닝센터) 조작,v2.0
1501020210_14v2,C090,치공구설계산업기사,MAND,필수,90,600,420,150,30,한국산업인력공단,치공구설계,v2.0
1501020112_16v3,C090,치공구설계산업기사,MAND,필수,15,600,420,150,30,한국산업인력공단,2D도면관리,v2.0
1501020111_16v3,C090,치공구설계산업기사,MAND,필수,30,600,420,150,30,한국산업인력공단,2D도면작업,v2.0
1501020114_16v3,C090,치공구설계산업기사,MAND,필수,15,600,420,150,30,한국산업인력공단,3D형상모델링검토,v2.0
1501020113_16v3,C090,치공구설계산업기사,MAND,필수,30,600,420,150,30,한국산업인력공단,3D형상모델링작업,v2.0
1501020116_16v3,C090,치공구설계산업기사,MAND,필수,15,600,420,150,30,한국산업인력공단,도면검토,v2.0
1501020115_16v3,C090,치공구설계산업기사,MAND,필수,15,600,420,150,30,한국산업인력공단,도면분석,v2.0
1501020105_14v2,C090,치공구설계산업기사,MAND,필수,15,600,420,150,30,한국산업인력공단,요소부품재질선정,v2.0
1501020104_14v2,C090,치공구설계산업기사,MAND,필수,30,600,420,150,30,한국산업인력공단,요소공차검토,v2.0
1501020106_16v3,C090,치공구설계산업기사,MAND,필수,15,600,420,150,30,한국산업인력공단,체결요소설계,v2.0
1501020109_16v3,C090,치공구설계산업기사,MAND,필수,30,600,420,150,30,한국산업인력공단,유공압요소설계,v2.0
1501020107_16v3,C090,치공구설계산업기사,MAND,필수,15,600,420,150,30,한국산업인력공단,동력전달요소설계,v2.0
1501020108_16v3,C090,치공구설계산업기사,MAND,필수,30,600,420,150,30,한국산업인력공단,치공구요소설계,v2.0
1503010114_16v4,C090,치공구설계산업기사,MAND,필수,15,600,420,150,30,한국산업인력공단,조립부품다듬질,v2.0
1503010113_16v4,C090,치공구설계산업기사,MAND,필수,15,600,420,150,30,한국산업인력공단,조립부품준비,v2.0
1502010306_14v2,C090,치공구설계산업기사,MAND,필수,15,600,420,150,30,한국산업인력공단,평면연삭,v2.0
1502010102_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,공구 선정,v2.0
1502010107_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,편심 · 나사 작업,v2.0
1502010106_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,홈 · 테이퍼 작업,v2.0
1502010104_16v4,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,기본 작업(선반가공),v2.0
1502010105_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,단순형상 작업,v2.0
1502010208_16v4,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,치공구 관리(밀링가공),v2.0
1502010205_16v4,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,평면 · 총형 가공,v2.0
1502010111_16v4,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,도면해독(선반가공),v2.0
1502010110_16v4,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,도면분석(선반가공),v2.0
1501020213_16v3,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,형상모델링 검토,v2.0
1501020212_16v3,C090,치공구설계산업기사,SEL,선택,30,600,420,150,30,한국산업인력공단,형상모델링 작업,v2.0
1501020211_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,설계품질관리,v2.0
1501020207_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,요소부품제작성검토,v2.0
1501020208_14v2,C090,치공구설계산업기사,SEL,선택,30,600,420,150,30,한국산업인력공단,동력전달장치설계,v2.0
1501020110_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,요소설계검증,v2.0
1502010408_16v4,C090,치공구설계산업기사,SEL,선택,30,600,420,150,30,한국산업인력공단,CNC밀링(머시닝센터) 가공 CAM 프로그래밍,v2.0
1502010305_16v4,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,기본작업(연삭가공),v2.0
1502010204_16v4,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,기본 작업(밀링가공),v2.0
1502010207_16v4,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,엔드밀 가공,v2.0
1503010106_16v4,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,기계부품조립,v2.0
1503020301_14v2,C090,치공구설계산업기사,SEL,선택,30,600,420,150,30,한국산업인력공단,기계공정 설계,v2.0
1502010504_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,기본측정기 사용,v2.0
1502010505_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,정밀측정,v2.0
1502010206_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,탭 · 드릴 · 보링 가공,v2.0
1502010404_16v4,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,CNC선반 가공매뉴얼 프로그래밍,v2.0
1502010403_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,30,한국산업인력공단,CNC선반 조작,v2.0
1501020117_18v4,C090,치공구설계산업기사,MAND,필수,15,600,420,150,18,한국산업인력공단,유압요소설계,v3.0
1501020118_18v4,C090,치공구설계산업기사,MAND,필수,15,600,420,150,18,한국산업인력공단,공압요소설계,v3.0
1502010406_18v5,C090,치공구설계산업기사,MAND,필수,15,600,420,150,18,한국산업인력공단,CNC밀링(머시닝센터) 가공 프로그래밍,v3.0
1502010405_18v3,C090,치공구설계산업기사,MAND,필수,15,600,420,150,18,한국산업인력공단,CNC밀링(머시닝센터) 조작,v3.0
1501020108_16v3,C090,치공구설계산업기사,MAND,필수,30,600,420,150,18,한국산업인력공단,치공구요소설계,v3.0
1501020107_16v3,C090,치공구설계산업기사,MAND,필수,15,600,420,150,18,한국산업인력공단,동력전달요소설계,v3.0
1501020106_16v3,C090,치공구설계산업기사,MAND,필수,15,600,420,150,18,한국산업인력공단,체결요소설계,v3.0
1501020104_14v2,C090,치공구설계산업기사,MAND,필수,30,600,420,150,18,한국산업인력공단,요소공차검토,v3.0
1501020105_14v2,C090,치공구설계산업기사,MAND,필수,15,600,420,150,18,한국산업인력공단,요소부품재질선정,v3.0
1501020115_16v3,C090,치공구설계산업기사,MAND,필수,15,600,420,150,18,한국산업인력공단,도면분석,v3.0
1501020116_16v3,C090,치공구설계산업기사,MAND,필수,15,600,420,150,18,한국산업인력공단,도면검토,v3.0
1501020113_16v3,C090,치공구설계산업기사,MAND,필수,30,600,420,150,18,한국산업인력공단,3D형상모델링작업,v3.0
1501020114_16v3,C090,치공구설계산업기사,MAND,필수,15,600,420,150,18,한국산업인력공단,3D형상모델링검토,v3.0
1501020111_16v3,C090,치공구설계산업기사,MAND,필수,30,600,420,150,18,한국산업인력공단,2D도면작업,v3.0
1501020112_16v3,C090,치공구설계산업기사,MAND,필수,15,600,420,150,18,한국산업인력공단,2D도면관리,v3.0
1501020210_14v2,C090,치공구설계산업기사,MAND,필수,90,600,420,150,18,한국산업인력공단,치공구설계,v3.0
1502010306_14v2,C090,치공구설계산업기사,MAND,필수,15,600,420,150,18,한국산업인력공단,평면연삭,v3.0
1503010113_16v4,C090,치공구설계산업기사,MAND,필수,15,600,420,150,18,한국산업인력공단,조립부품준비,v3.0
1503010114_16v4,C090,치공구설계산업기사,MAND,필수,15,600,420,150,18,한국산업인력공단,조립부품다듬질,v3.0
1502010408_18v5,C090,치공구설계산업기사,SEL,선택,30,600,420,150,18,한국산업인력공단,CNC밀링(머시닝센터) 가공 CAM 프로그래밍,v3.0
1502010504_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,기본측정기 사용,v3.0
1503010106_16v4,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,기계부품조립,v3.0
1503020301_14v2,C090,치공구설계산업기사,SEL,선택,30,600,420,150,18,한국산업인력공단,기계공정 설계,v3.0
1501020110_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,요소설계검증,v3.0
1501020208_14v2,C090,치공구설계산업기사,SEL,선택,30,600,420,150,18,한국산업인력공단,동력전달장치설계,v3.0
1501020207_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,요소부품제작성검토,v3.0
1501020211_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,설계품질관리,v3.0
1501020212_16v3,C090,치공구설계산업기사,SEL,선택,30,600,420,150,18,한국산업인력공단,형상모델링 작업,v3.0
1501020213_16v3,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,형상모델링 검토,v3.0
1502010110_16v4,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,도면분석(선반가공),v3.0
1502010111_16v4,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,도면해독(선반가공),v3.0
1502010102_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,공구 선정,v3.0
1502010107_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,편심 · 나사 작업,v3.0
1502010106_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,홈 · 테이퍼 작업,v3.0
1502010104_16v4,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,기본 작업(선반가공),v3.0
1502010105_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,단순형상 작업,v3.0
1502010208_16v4,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,치공구 관리(밀링가공),v3.0
1502010205_16v4,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,평면 · 총형 가공,v3.0
1502010206_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,탭 · 드릴 · 보링 가공,v3.0
1502010207_16v4,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,엔드밀 가공,v3.0
1502010204_16v4,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,기본 작업(밀링가공),v3.0
1502010305_16v4,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,기본작업(연삭가공),v3.0
1502010403_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,CNC선반 조작,v3.0
1502010505_14v2,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,정밀측정,v3.0
1502010404_18v5,C090,치공구설계산업기사,SEL,선택,15,600,420,150,18,한국산업인력공단,CNC선반 가공 프로그래밍,v3.0
1502010506_14v2,C098,정밀측정산업기사,MAND,필수,30,585,360,195,30,한국산업인력공단,비교측정,v1.0
1502010503_14v2,C098,정밀측정산업기사,MAND,필수,15,585,360,195,30,한국산업인력공단,육안검사,v1.0
1502010504_14v2,C098,정밀측정산업기사,MAND,필수,60,585,360,195,30,한국산업인력공단,기본측정기 사용,v1.0
1502010508_14v2,C098,정밀측정산업기사,MAND,필수,30,585,360,195,30,한국산업인력공단,측정기 유지관리,v1.0
1502010502_14v2,C098,정밀측정산업기사,MAND,필수,45,585,360,195,30,한국산업인력공단,도면해독,v1.0
1502010505_14v2,C098,정밀측정산업기사,MAND,필수,90,585,360,195,30,한국산업인력공단,정밀측정,v1.0
1502010507_14v2,C098,정밀측정산업기사,MAND,필수,90,585,360,195,30,한국산업인력공단,3차원측정,v1.0
1504010309_14v2,C098,정밀측정산업기사,SEL,선택,30,585,360,195,30,한국산업인력공단,기계품질 신뢰성 평가,v1.0
1502010305_14v2,C098,정밀측정산업기사,SEL,선택,30,585,360,195,30,한국산업인력공단,기본작업,v1.0
1502010605_14v2,C098,정밀측정산업기사,SEL,선택,30,585,360,195,30,한국산업인력공단,프레스 작업,v1.0
1502020101_14v2,C098,정밀측정산업기사,SEL,선택,30,585,360,195,30,한국산업인력공단,방전가공 작업준비,v1.0
1601010203_14v2,C098,정밀측정산업기사,SEL,선택,45,585,360,195,30,한국산업인력공단,기계적 재료시험,v1.0
1501020101_14v2,C098,정밀측정산업기사,SEL,선택,60,585,360,195,30,한국산업인력공단,2D도면작성,v1.0
1502010209_14v2,C098,정밀측정산업기사,SEL,선택,15,585,360,195,30,한국산업인력공단,안전대책 수립,v1.0
1502010202_14v2,C098,정밀측정산업기사,SEL,선택,15,585,360,195,30,한국산업인력공단,작업장 유지관리,v1.0
1502010204_14v2,C098,정밀측정산업기사,SEL,선택,30,585,360,195,30,한국산업인력공단,기본 작업,v1.0
1502010510_14v2,C098,정밀측정산업기사,SEL,선택,30,585,360,195,30,한국산업인력공단,작업관리,v1.0
1503010102_14v3,C098,정밀측정산업기사,SEL,선택,30,585,360,195,30,한국산업인력공단,조립도면해독,v1.0
1501020102_14v2,C098,정밀측정산업기사,SEL,선택,60,585,360,195,30,한국산업인력공단,3D형상모델링,v1.0
1504010310_14v2,C098,정밀측정산업기사,SEL,선택,60,585,360,195,30,한국산업인력공단,기계품질 데이터분석시스템 구축,v1.0
1502010509_14v2,C098,정밀측정산업기사,SEL,선택,30,585,360,195,30,한국산업인력공단,작업 개선활동,v1.0
1503010104_14v3,C098,정밀측정산업기사,SEL,선택,60,585,360,195,30,한국산업인력공단,조립부품준비,v1.0
1502010501_14v2,C098,정밀측정산업기사,SEL,선택,15,585,360,195,30,한국산업인력공단,작업계획수립,v1.0
1502010104_14v2,C098,정밀측정산업기사,SEL,선택,30,585,360,195,30,한국산업인력공단,기본 작업,v1.0
1502010102_14v2,C098,정밀측정산업기사,SEL,선택,15,585,360,195,30,한국산업인력공단,공구 선정,v1.0
1502010504_14v2,C098,정밀측정산업기사,MAND,필수,60,600,375,195,30,한국산업인력공단,기본측정기 사용,v2.0
1502010508_14v2,C098,정밀측정산업기사,MAND,필수,30,600,375,195,30,한국산업인력공단,측정기 유지관리,v2.0
1502010503_14v2,C098,정밀측정산업기사,MAND,필수,15,600,375,195,30,한국산업인력공단,육안검사,v2.0
1502010505_14v2,C098,정밀측정산업기사,MAND,필수,90,600,375,195,30,한국산업인력공단,정밀측정,v2.0
1502010507_14v2,C098,정밀측정산업기사,MAND,필수,90,600,375,195,30,한국산업인력공단,3차원측정,v2.0
1502010506_14v2,C098,정밀측정산업기사,MAND,필수,30,600,375,195,30,한국산업인력공단,비교측정,v2.0
1502010502_14v2,C098,정밀측정산업기사,MAND,필수,60,600,375,195,30,한국산업인력공단,도면해독,v2.0
1503010114_16v4,C098,정밀측정산업기사,SEL,선택,45,600,375,195,30,한국산업인력공단,조립부품다듬질,v2.0
1503010111_16v4,C098,정밀측정산업기사,SEL,선택,15,600,375,195,30,한국산업인력공단,조립도면해독,v2.0
1503010112_16v4,C098,정밀측정산업기사,SEL,선택,15,600,375,195,30,한국산업인력공단,조립도면작성,v2.0
1504010310_14v2,C098,정밀측정산업기사,SEL,선택,30,600,375,195,30,한국산업인력공단,기계품질 데이터분석시스템 구축,v2.0
1504010309_14v2,C098,정밀측정산업기사,SEL,선택,30,600,375,195,30,한국산업인력공단,기계품질 신뢰성 평가,v2.0
1502010305_16v4,C098,정밀측정산업기사,SEL,선택,30,600,375,195,30,한국산업인력공단,기본작업(연삭가공),v2.0
1502010605_14v2,C098,정밀측정산업기사,SEL,선택,30,600,375,195,30,한국산업인력공단,프레스 작업,v2.0
1502020101_14v2,C098,정밀측정산업기사,SEL,선택,30,600,375,195,30,한국산업인력공단,방전가공 작업준비,v2.0
1601010210_16v3,C098,정밀측정산업기사,SEL,선택,30,600,375,195,30,한국산업인력공단,정적재료시험,v2.0
1601010211_16v3,C098,정밀측정산업기사,SEL,선택,15,600,375,195,30,한국산업인력공단,동적재료시험,v2.0
1503010113_16v4,C098,정밀측정산업기사,SEL,선택,15,600,375,195,30,한국산업인력공단,조립부품준비,v2.0
1502010510_14v2,C098,정밀측정산업기사,SEL,선택,30,600,375,195,30,한국산업인력공단,작업관리,v2.0
1502010501_14v2,C098,정밀측정산업기사,SEL,선택,15,600,375,195,30,한국산업인력공단,작업계획수립,v2.0
1502010509_14v2,C098,정밀측정산업기사,SEL,선택,30,600,375,195,30,한국산업인력공단,작업 개선활동,v2.0
1501020113_16v3,C098,정밀측정산업기사,SEL,선택,45,600,375,195,30,한국산업인력공단,3D형상모델링작업,v2.0
1501020114_16v3,C098,정밀측정산업기사,SEL,선택,15,600,375,195,30,한국산업인력공단,3D형상모델링검토,v2.0
1501020111_16v3,C098,정밀측정산업기사,SEL,선택,45,600,375,195,30,한국산업인력공단,2D도면작업,v2.0
1501020112_16v3,C098,정밀측정산업기사,SEL,선택,15,600,375,195,30,한국산업인력공단,2D도면관리,v2.0
1502010213_16v4,C098,정밀측정산업기사,SEL,선택,15,600,375,195,30,한국산업인력공단,안전대책 수립(밀링가공),v2.0
1502010214_16v4,C098,정밀측정산업기사,SEL,선택,15,600,375,195,30,한국산업인력공단,안전규정 준수(밀링가공),v2.0
1502010202_16v4,C098,정밀측정산업기사,SEL,선택,15,600,375,195,30,한국산업인력공단,작업장 유지관리(밀링가공),v2.0
1502010204_16v4,C098,정밀측정산업기사,SEL,선택,30,600,375,195,30,한국산업인력공단,기본 작업(밀링가공),v2.0
1502010102_14v2,C098,정밀측정산업기사,SEL,선택,15,600,375,195,30,한국산업인력공단,공구 선정,v2.0
1502010104_16v4,C098,정밀측정산업기사,SEL,선택,30,600,375,195,30,한국산업인력공단,기본 작업(선반가공),v2.0
1502010506_18v3,C098,정밀측정산업기사,MAND,필수,30,600,375,195,18,한국산업인력공단,비교측정,v3.0
1502010503_18v3,C098,정밀측정산업기사,MAND,필수,15,600,375,195,18,한국산업인력공단,육안검사,v3.0
1502010504_14v2,C098,정밀측정산업기사,MAND,필수,60,600,375,195,18,한국산업인력공단,기본측정기 사용,v3.0
1502010508_18v3,C098,정밀측정산업기사,MAND,필수,30,600,375,195,18,한국산업인력공단,측정기 유지관리,v3.0
1502010502_18v3,C098,정밀측정산업기사,MAND,필수,60,600,375,195,18,한국산업인력공단,도면해독,v3.0
1502010505_18v3,C098,정밀측정산업기사,MAND,필수,90,600,375,195,18,한국산업인력공단,정밀측정,v3.0
1502010507_14v2,C098,정밀측정산업기사,MAND,필수,90,600,375,195,18,한국산업인력공단,3차원측정,v3.0
1501020113_16v3,C098,정밀측정산업기사,SEL,선택,45,600,375,195,18,한국산업인력공단,3D형상모델링작업,v3.0
1501020114_16v3,C098,정밀측정산업기사,SEL,선택,15,600,375,195,18,한국산업인력공단,3D형상모델링검토,v3.0
1501020111_16v3,C098,정밀측정산업기사,SEL,선택,45,600,375,195,18,한국산업인력공단,2D도면작업,v3.0
1501020112_16v3,C098,정밀측정산업기사,SEL,선택,15,600,375,195,18,한국산업인력공단,2D도면관리,v3.0
1502010213_16v4,C098,정밀측정산업기사,SEL,선택,15,600,375,195,18,한국산업인력공단,안전대책 수립(밀링가공),v3.0
1502010214_16v4,C098,정밀측정산업기사,SEL,선택,15,600,375,195,18,한국산업인력공단,안전규정 준수(밀링가공),v3.0
1502010202_16v4,C098,정밀측정산업기사,SEL,선택,15,600,375,195,18,한국산업인력공단,작업장 유지관리(밀링가공),v3.0
1502010204_16v4,C098,정밀측정산업기사,SEL,선택,30,600,375,195,18,한국산업인력공단,기본 작업(밀링가공),v3.0
1502010102_14v2,C098,정밀측정산업기사,SEL,선택,15,600,375,195,18,한국산업인력공단,공구 선정,v3.0
1502010510_14v2,C098,정밀측정산업기사,SEL,선택,30,600,375,195,18,한국산업인력공단,작업관리,v3.0
1502010509_14v2,C098,정밀측정산업기사,SEL,선택,30,600,375,195,18,한국산업인력공단,작업 개선활동,v3.0
1502010501_14v2,C098,정밀측정산업기사,SEL,선택,15,600,375,195,18,한국산업인력공단,작업계획수립,v3.0
1601010214_18v4,C098,정밀측정산업기사,SEL,선택,30,600,375,195,18,한국산업인력공단,피로·크리프시험,v3.0
1601010213_18v4,C098,정밀측정산업기사,SEL,선택,30,600,375,195,18,한국산업인력공단,굽힘·마모시험,v3.0
1601010212_18v4,C098,정밀측정산업기사,SEL,선택,45,600,375,195,18,한국산업인력공단,인장·경도·충격시험,v3.0
1502010605_14v2,C098,정밀측정산업기사,SEL,선택,30,600,375,195,18,한국산업인력공단,프레스 작업,v3.0
1502020113_18v3,C098,정밀측정산업기사,SEL,선택,15,600,375,195,18,한국산업인력공단,와이어 방전가공 사전준비,v3.0
1502020114_18v3,C098,정밀측정산업기사,SEL,선택,15,600,375,195,18,한국산업인력공단,형조 방전가공 사전준비,v3.0
1502010305_16v4,C098,정밀측정산업기사,SEL,선택,30,600,375,195,18,한국산업인력공단,기본작업(연삭가공),v3.0
1504010309_14v2,C098,정밀측정산업기사,SEL,선택,30,600,375,195,18,한국산업인력공단,기계품질 신뢰성 평가,v3.0
1504010310_14v2,C098,정밀측정산업기사,SEL,선택,30,600,375,195,18,한국산업인력공단,기계품질 데이터분석시스템 구축,v3.0
1503010112_16v4,C098,정밀측정산업기사,SEL,선택,15,600,375,195,18,한국산업인력공단,조립도면작성,v3.0
1503010111_16v4,C098,정밀측정산업기사,SEL,선택,15,600,375,195,18,한국산업인력공단,조립도면해독,v3.0
1503010114_16v4,C098,정밀측정산업기사,SEL,선택,45,600,375,195,18,한국산업인력공단,조립부품다듬질,v3.0
1503010113_16v4,C098,정밀측정산업기사,SEL,선택,15,600,375,195,18,한국산업인력공단,조립부품준비,v3.0
1502010104_16v4,C098,정밀측정산업기사,SEL,선택,30,600,375,195,18,한국산업인력공단,기본 작업(선반가공),v3.0
1502010511_20v4,C098,정밀측정산업기사,MAND,필수,30,500,375,0,18,한국산업인력공단,측정 도면해독,v4.0
1502010512_20v4,C098,정밀측정산업기사,MAND,필수,45,500,375,0,18,한국산업인력공단,기하공차 해석,v4.0
1502010508_20v4,C098,정밀측정산업기사,MAND,필수,45,500,375,0,18,한국산업인력공단,측정기 유지관리,v4.0
1502010507_20v3,C098,정밀측정산업기사,MAND,필수,60,500,375,0,18,한국산업인력공단,3차원측정,v4.0
1502010506_20v4,C098,정밀측정산업기사,MAND,필수,45,500,375,0,18,한국산업인력공단,비교측정,v4.0
1601010217_19v5,C098,정밀측정산업기사,MAND,필수,15,500,375,0,18,한국산업인력공단,인장시험,v4.0
1502010504_20v3,C098,정밀측정산업기사,MAND,필수,30,500,375,0,18,한국산업인력공단,기본측정기 사용,v4.0
1502010309_16v4,C098,정밀측정산업기사,MAND,필수,30,500,375,0,18,한국산업인력공단,정밀측정(연삭가공),v4.0
1601010219_19v5,C098,정밀측정산업기사,MAND,필수,15,500,375,0,18,한국산업인력공단,충격시험,v4.0
1601010218_19v5,C098,정밀측정산업기사,MAND,필수,15,500,375,0,18,한국산업인력공단,경도시험,v4.0
1502010505_20v4,C098,정밀측정산업기사,MAND,필수,45,500,375,0,18,한국산업인력공단,정밀측정,v4.0
1601010202_14v2,C101,금속재료산업기사,MAND,필수,30,600,405,165,30,한국산업인력공단,재료시험편 준비,v1.0
1601010210_16v3,C101,금속재료산업기사,MAND,필수,60,600,405,165,30,한국산업인력공단,정적재료시험,v1.0
1601010206_14v2,C101,금속재료산업기사,MAND,필수,45,600,405,165,30,한국산업인력공단,코팅성능 재료시험,v1.0
1601010211_16v3,C101,금속재료산업기사,MAND,필수,60,600,405,165,30,한국산업인력공단,동적재료시험,v1.0
1601010309_14v2,C101,금속재료산업기사,MAND,필수,45,600,405,165,30,한국산업인력공단,시험설비 관리,v1.0
1601010313_16v3,C101,금속재료산업기사,MAND,필수,60,600,405,165,30,한국산업인력공단,광학현미경 조직검사,v1.0
1601010311_16v3,C101,금속재료산업기사,MAND,필수,45,600,405,165,30,한국산업인력공단,거시조직판별,v1.0
1601010312_16v3,C101,금속재료산업기사,MAND,필수,60,600,405,165,30,한국산업인력공단,거시조직검사,v1.0
2306030104_14v2,C101,금속재료산업기사,SEL,선택,45,600,405,165,30,한국산업인력공단,초음파 비파괴검사,v1.0
2306030105_14v2,C101,금속재료산업기사,SEL,선택,30,600,405,165,30,한국산업인력공단,자기 비파괴검사,v1.0
1601010103_14v2,C101,금속재료산업기사,SEL,선택,30,600,405,165,30,한국산업인력공단,원부자재관리,v1.0
1601010108_14v2,C101,금속재료산업기사,SEL,선택,30,600,405,165,30,한국산업인력공단,환경안전관리,v1.0
1601010201_14v2,C101,금속재료산업기사,SEL,선택,30,600,405,165,30,한국산업인력공단,재료시험계획 수립,v1.0
1601010205_14v2,C101,금속재료산업기사,SEL,선택,60,600,405,165,30,한국산업인력공단,화학적 재료시험,v1.0
1601010301_14v2,C101,금속재료산업기사,SEL,선택,30,600,405,165,30,한국산업인력공단,재료조직평가 계획,v1.0
2306030109_14v2,C101,금속재료산업기사,SEL,선택,30,600,405,165,30,한국산업인력공단,육안 비파괴검사,v1.0
1601010107_14v2,C101,금속재료산업기사,SEL,선택,45,600,405,165,30,한국산업인력공단,품질관리,v1.0
1601010208_14v2,C101,금속재료산업기사,SEL,선택,30,600,405,165,30,한국산업인력공단,재료시험설비 안전관리,v1.0
